model,prompt,dedektor,arac,ai,humanized,fark_puan,aciklama
ChatGPT,1,GPTZero,Aithor,0.7,0.83,13.0,
ChatGPT,1,GPTZero,Rephraser,0.7,0.12,-58.0,
ChatGPT,1,ZeroGPT,Aithor,1.0,1.0,0.0,
ChatGPT,1,ZeroGPT,Rephraser,1.0,0.308,-69.2,
ChatGPT,2,GPTZero,Rephraser,1.0,0.19,-81.0,
ChatGPT,2,GPTZero,Aithor,1.0,0.61,-39.0,
ChatGPT,2,ZeroGPT,Rephraser,0.0,0.0,0.0,OLCULEMEZ - taban etkisi
ChatGPT,2,ZeroGPT,Aithor,0.0,0.0,0.0,OLCULEMEZ - taban etkisi
ChatGPT,3,GPTZero,Aithor,0.99,1.0,1.0,
ChatGPT,3,GPTZero,Rephraser,0.99,0.77,-22.0,
ChatGPT,3,ZeroGPT,Aithor,1.0,1.0,0.0,
ChatGPT,3,ZeroGPT,Rephraser,1.0,1.0,0.0,
ChatGPT,4,GPTZero,Aithor,1.0,1.0,0.0,
ChatGPT,4,GPTZero,Rephraser,1.0,0.47,-53.0,
ChatGPT,4,ZeroGPT,Aithor,1.0,0.241,-75.9,
ChatGPT,4,ZeroGPT,Rephraser,1.0,1.0,0.0,
ChatGPT,5,GPTZero,Aithor,0.84,0.39,-45.0,
ChatGPT,5,GPTZero,Rephraser,0.84,0.03,-81.0,
ChatGPT,5,ZeroGPT,Aithor,1.0,0.157,-84.3,
ChatGPT,5,ZeroGPT,Rephraser,1.0,0.884,-11.6,
Claude,1,GPTZero,Aithor,1.0,1.0,0.0,
Claude,1,GPTZero,Rephraser,1.0,0.87,-13.0,
Claude,1,ZeroGPT,Aithor,0.875,0.875,0.0,
Claude,1,ZeroGPT,Rephraser,0.875,1.0,12.5,
Claude,2,GPTZero,Rephraser,1.0,0.72,-28.0,
Claude,2,GPTZero,Aithor,1.0,0.91,-9.0,
Claude,2,ZeroGPT,Rephraser,0.0,0.0,0.0,OLCULEMEZ - taban etkisi
Claude,2,ZeroGPT,Aithor,0.0,0.0,0.0,OLCULEMEZ - taban etkisi
Claude,3,GPTZero,Aithor,0.95,0.03,-92.0,
Claude,3,GPTZero,Rephraser,0.95,0.02,-93.0,
Claude,3,ZeroGPT,Aithor,0.259,0.309,5.0,
Claude,3,ZeroGPT,Rephraser,0.259,0.755,49.6,
Claude,4,GPTZero,Aithor,0.98,0.98,0.0,
Claude,4,GPTZero,Rephraser,0.98,0.59,-39.0,
Claude,4,ZeroGPT,Aithor,0.688,0.688,0.0,
Claude,4,ZeroGPT,Rephraser,0.688,0.582,-10.6,
Claude,5,GPTZero,Aithor,1.0,1.0,0.0,
Claude,5,GPTZero,Rephraser,1.0,0.05,-95.0,
Claude,5,ZeroGPT,Aithor,0.328,0.328,0.0,
Claude,5,ZeroGPT,Rephraser,0.328,0.602,27.4,
Gemini,1,GPTZero,Aithor,0.99,0.99,0.0,
Gemini,1,GPTZero,Rephraser,0.99,0.96,-3.0,
Gemini,1,ZeroGPT,Aithor,0.27,0.27,0.0,
Gemini,1,ZeroGPT,Rephraser,0.27,0.279,0.9,
Gemini,2,GPTZero,Aithor,0.99,0.99,0.0,
Gemini,2,GPTZero,Rephraser,0.99,0.92,-7.0,
Gemini,2,ZeroGPT,Aithor,0.0,0.0,0.0,OLCULEMEZ - taban etkisi
Gemini,2,ZeroGPT,Rephraser,0.0,0.0,0.0,OLCULEMEZ - taban etkisi
Gemini,3,GPTZero,Aithor,0.99,0.99,0.0,
Gemini,3,GPTZero,Rephraser,0.99,0.97,-2.0,
Gemini,3,ZeroGPT,Aithor,0.399,0.237,-16.2,
Gemini,3,ZeroGPT,Rephraser,0.399,0.739,34.0,
Gemini,4,GPTZero,Aithor,1.0,1.0,0.0,
Gemini,4,GPTZero,Rephraser,1.0,0.8,-20.0,
Gemini,4,ZeroGPT,Aithor,0.555,0.533,-2.2,
Gemini,4,ZeroGPT,Rephraser,0.555,0.24,-31.5,
Gemini,5,GPTZero,Aithor,0.98,0.89,-9.0,
Gemini,5,GPTZero,Rephraser,0.98,0.09,-89.0,
Gemini,5,ZeroGPT,Aithor,0.39,0.384,-0.6,
Gemini,5,ZeroGPT,Rephraser,0.39,0.914,52.4,
Kumru,1,GPTZero,Aithor,0.01,0.1,9.0,
Kumru,1,GPTZero,Rephraser,0.01,0.0,-1.0,
Kumru,1,ZeroGPT,Aithor,0.881,0.982,10.1,
Kumru,1,ZeroGPT,Rephraser,0.881,0.982,10.1,
Kumru,2,GPTZero,Aithor,0.58,0.2,-38.0,
Kumru,2,GPTZero,Rephraser,0.58,0.21,-37.0,
