text_id,label,model,prompt_id,humanizer,dil_modeli,birincil,perplexity,token_sayisi,kirpildi,esik,score,binary_label
T001,ai,ChatGPT,1,,ytu-ce-cosmos/turkish-gpt2,evet,13.151,146,hayir,,,
T002,humanized,ChatGPT,1,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,17.462,139,hayir,,,
T003,humanized,ChatGPT,1,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,71.604,133,hayir,,,
T004,ai,ChatGPT,2,,ytu-ce-cosmos/turkish-gpt2,evet,19.447,146,hayir,,,
T005,humanized,ChatGPT,2,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,35.857,142,hayir,,,
T006,humanized,ChatGPT,2,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,37.552,166,hayir,,,
T007,ai,ChatGPT,3,,ytu-ce-cosmos/turkish-gpt2,evet,22.675,131,hayir,,,
T008,humanized,ChatGPT,3,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,22.331,128,hayir,,,
T009,humanized,ChatGPT,3,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,21.298,138,hayir,,,
T010,ai,ChatGPT,4,,ytu-ce-cosmos/turkish-gpt2,evet,26.711,150,hayir,,,
T011,humanized,ChatGPT,4,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,36.876,142,hayir,,,
T012,humanized,ChatGPT,4,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,26.804,153,hayir,,,
T013,ai,ChatGPT,5,,ytu-ce-cosmos/turkish-gpt2,evet,24.331,135,hayir,,,
T014,humanized,ChatGPT,5,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,34.063,153,hayir,,,
T015,humanized,ChatGPT,5,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,31.294,139,hayir,,,
T016,ai,Gemini,1,,ytu-ce-cosmos/turkish-gpt2,evet,22.242,137,hayir,,,
T017,humanized,Gemini,1,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,22.123,137,hayir,,,
T018,humanized,Gemini,1,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,18.76,133,hayir,,,
T019,ai,Gemini,2,,ytu-ce-cosmos/turkish-gpt2,evet,34.653,155,hayir,,,
T020,humanized,Gemini,2,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,39.274,147,hayir,,,
T021,humanized,Gemini,2,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,41.194,160,hayir,,,
T022,ai,Gemini,3,,ytu-ce-cosmos/turkish-gpt2,evet,32.253,145,hayir,,,
T023,humanized,Gemini,3,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,38.695,137,hayir,,,
T024,humanized,Gemini,3,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,30.696,143,hayir,,,
T025,ai,Gemini,4,,ytu-ce-cosmos/turkish-gpt2,evet,43.111,138,hayir,,,
T026,humanized,Gemini,4,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,39.245,138,hayir,,,
T027,humanized,Gemini,4,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,48.714,130,hayir,,,
T028,ai,Gemini,5,,ytu-ce-cosmos/turkish-gpt2,evet,38.004,137,hayir,,,
T029,humanized,Gemini,5,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,50.697,131,hayir,,,
T030,humanized,Gemini,5,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,44.227,132,hayir,,,
T031,ai,Claude,1,,ytu-ce-cosmos/turkish-gpt2,evet,15.766,144,hayir,,,
T032,humanized,Claude,1,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,15.766,144,hayir,,,
T033,humanized,Claude,1,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,18.318,148,hayir,,,
T034,ai,Claude,2,,ytu-ce-cosmos/turkish-gpt2,evet,28.553,159,hayir,,,
T035,humanized,Claude,2,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,41.999,163,hayir,,,
T036,humanized,Claude,2,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,26.651,164,hayir,,,
T037,ai,Claude,3,,ytu-ce-cosmos/turkish-gpt2,evet,51.293,147,hayir,,,
T038,humanized,Claude,3,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,60.693,136,hayir,,,
T039,humanized,Claude,3,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,41.762,160,hayir,,,
T040,ai,Claude,4,,ytu-ce-cosmos/turkish-gpt2,evet,37.761,143,hayir,,,
T041,humanized,Claude,4,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,37.761,143,hayir,,,
T042,humanized,Claude,4,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,38.892,150,hayir,,,
T043,ai,Claude,5,,ytu-ce-cosmos/turkish-gpt2,evet,47.112,146,hayir,,,
T044,humanized,Claude,5,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,47.112,146,hayir,,,
T045,humanized,Claude,5,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,61.122,161,hayir,,,
T046,ai,Kumru,1,,ytu-ce-cosmos/turkish-gpt2,evet,12.577,138,hayir,,,
T047,ai,Kumru,2,,ytu-ce-cosmos/turkish-gpt2,evet,23.6,135,hayir,,,
T048,humanized,Kumru,1,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,13.192,147,hayir,,,
T049,humanized,Kumru,1,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,13.064,154,hayir,,,
T050,humanized,Kumru,2,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,23.317,135,hayir,,,
T051,humanized,Kumru,2,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,31.791,150,hayir,,,
T052,ai,Kumru,3,,ytu-ce-cosmos/turkish-gpt2,evet,27.204,136,hayir,,,
T053,humanized,Kumru,3,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,38.617,122,hayir,,,
T054,humanized,Kumru,3,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,34.744,133,hayir,,,
T055,ai,Kumru,4,,ytu-ce-cosmos/turkish-gpt2,evet,17.38,147,hayir,,,
T056,humanized,Kumru,4,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,18.228,145,hayir,,,
T057,humanized,Kumru,4,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,24.538,157,hayir,,,
