text_id,detector_name,detector_version,scan_mode,score,binary_label,threshold,confidence,mixed_pct,kisa_metin_uyarisi,run_date
T001,GPTZero,Model 4.1m,Advanced,0.7,1,0.5,moderately confident,,hayir,2026-08-05
T001,ZeroGPT,web arayuz,Detect Text,1.0,1,0.5,AI/GPT Generated,,hayir,2026-08-05
T002,GPTZero,Model 4.1m,Advanced,0.83,1,0.5,highly confident,,hayir,2026-08-05
T002,ZeroGPT,web arayuz,Detect Text,1.0,1,0.5,AI/GPT Generated,,hayir,2026-08-05
T003,GPTZero,Model 4.1m,Advanced,0.12,0,0.5,highly confident,,EVET,2026-08-05
T003,ZeroGPT,web arayuz,Detect Text,0.308,0,0.5,Most Likely Human written,,hayir,2026-08-05
T004,GPTZero,Model 4.1m,Advanced,1.0,1,0.5,highly confident,,hayir,2026-08-05
T004,ZeroGPT,web arayuz,Detect Text,0.0,0,0.5,Human written,,hayir,2026-08-05
T005,GPTZero,Model 4.1m,Advanced,0.19,0,0.5,moderately confident,,hayir,2026-08-05
T005,ZeroGPT,web arayuz,Detect Text,0.0,0,0.5,Human written,,hayir,2026-08-05
T006,GPTZero,Model 4.1m,Advanced,0.61,1,0.5,moderately confident,,hayir,2026-08-05
T006,ZeroGPT,web arayuz,Detect Text,0.0,0,0.5,Human written,,hayir,2026-08-05
T007,GPTZero,Model 4.1m,Advanced,0.99,1,0.5,highly confident,,hayir,2026-08-06
T007,ZeroGPT,web arayuz,Detect Text,1.0,1,0.5,AI/GPT Generated,,hayir,2026-08-06
T008,GPTZero,Model 4.1m,Advanced,1.0,1,0.5,highly confident,,hayir,2026-08-06
T008,ZeroGPT,web arayuz,Detect Text,1.0,1,0.5,AI/GPT Generated,,hayir,2026-08-06
T009,GPTZero,Model 4.1m,Advanced,0.77,1,0.5,moderately confident,,hayir,2026-08-06
T009,ZeroGPT,web arayuz,Detect Text,1.0,1,0.5,AI/GPT Generated,,hayir,2026-08-06
T010,GPTZero,Model 4.1m,Advanced,1.0,1,0.5,highly confident,,hayir,2026-08-06
T010,ZeroGPT,web arayuz,Detect Text,1.0,1,0.5,AI/GPT Generated,,hayir,2026-08-06
T011,GPTZero,Model 4.1m,Advanced,1.0,1,0.5,highly confident,,hayir,2026-08-06
T011,ZeroGPT,web arayuz,Detect Text,0.241,0,0.5,Most Likely Human written,,hayir,2026-08-06
T012,GPTZero,Model 4.1m,Advanced,0.47,0,0.5,uncertain,,hayir,2026-08-06
T012,ZeroGPT,web arayuz,Detect Text,1.0,1,0.5,AI/GPT Generated,,hayir,2026-08-06
T013,GPTZero,Model 4.1m,Advanced,0.84,1,0.5,highly confident,,hayir,2026-08-06
T013,ZeroGPT,web arayuz,Detect Text,1.0,1,0.5,AI/GPT Generated,,hayir,2026-08-06
T014,GPTZero,Model 4.1m,Advanced,0.39,0,0.5,uncertain,,hayir,2026-08-06
T014,ZeroGPT,web arayuz,Detect Text,0.157,0,0.5,Human written,,hayir,2026-08-06
T015,GPTZero,Model 4.1m,Advanced,0.03,0,0.5,highly confident,,hayir,2026-08-06
T015,ZeroGPT,web arayuz,Detect Text,0.884,1,0.5,AI/GPT Generated,,hayir,2026-08-06
