dedektor,model,sinif,n,recall,ci_alt,ci_ust
DedektorA,Claude,ai,5,1.0,0.5655085052479191,1.0
DedektorA,Claude,humanized,10,0.3,0.10778928748621183,0.6032267800204347
DedektorA,GPT,ai,5,1.0,0.5655085052479191,1.0
DedektorA,GPT,humanized,10,0.3,0.10778928748621183,0.6032267800204347
DedektorA,Gemini,ai,5,1.0,0.5655085052479191,1.0
DedektorA,Gemini,humanized,10,0.4,0.16817758120350962,0.6873304525498136
DedektorA,Kumru,ai,5,1.0,0.5655085052479191,1.0
DedektorA,Kumru,humanized,10,0.3,0.10778928748621183,0.6032267800204347
DedektorB,Claude,ai,5,1.0,0.5655085052479191,1.0
DedektorB,Claude,humanized,10,0.4,0.16817758120350962,0.6873304525498136
DedektorB,GPT,ai,5,1.0,0.5655085052479191,1.0
DedektorB,GPT,humanized,10,0.2,0.056680947980693314,0.5098431532792765
DedektorB,Gemini,ai,5,1.0,0.5655085052479191,1.0
DedektorB,Gemini,humanized,10,0.3,0.10778928748621183,0.6032267800204347
DedektorB,Kumru,ai,5,1.0,0.5655085052479191,1.0
DedektorB,Kumru,humanized,10,0.1,0.01787574951572113,0.4041563854975721
DedektorC,Claude,ai,5,1.0,0.5655085052479191,1.0
DedektorC,Claude,humanized,10,0.2,0.056680947980693314,0.5098431532792765
DedektorC,GPT,ai,5,1.0,0.5655085052479191,1.0
DedektorC,GPT,humanized,10,0.2,0.056680947980693314,0.5098431532792765
DedektorC,Gemini,ai,5,1.0,0.5655085052479191,1.0
DedektorC,Gemini,humanized,10,0.5,0.23658959361548731,0.7634104063845126
DedektorC,Kumru,ai,5,1.0,0.5655085052479191,1.0
DedektorC,Kumru,humanized,10,0.1,0.01787574951572113,0.4041563854975721
