text_id,label,model_tool,model_version,uretim_ayarlari,uretim_tarihi,source_text_id
T001,ai,ChatGPT,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T002,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T001
T003,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T001
T004,ai,ChatGPT,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T005,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T004
T006,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T004
T007,ai,ChatGPT,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T008,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T007
T009,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T007
T010,ai,ChatGPT,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T011,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T010
T012,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T010
T013,ai,ChatGPT,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T014,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T013
T015,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T013
T016,ai,Gemini,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T017,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T016
T018,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T016
T019,ai,Gemini,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T020,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T019
T021,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T019
T022,ai,Gemini,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T023,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T022
T024,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T022
T025,ai,Gemini,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T026,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T025
T027,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T025
T028,ai,Gemini,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T029,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T028
T030,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T028
T031,ai,Claude,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T032,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T031
T033,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T031
T034,ai,Claude,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T035,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T034
T036,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T034
T037,ai,Claude,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T038,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T037
T039,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T037
T040,ai,Claude,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T041,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T040
T042,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T040
T043,ai,Claude,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T044,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T043
T045,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T043
T046,ai,Kumru,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T047,ai,Kumru,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T048,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T046
T049,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T046
T050,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T047
T051,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T047
T052,ai,Kumru,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T053,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T052
T054,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T052
T055,ai,Kumru,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T056,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T055
T057,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T055
T058,ai,Kumru,kaydedilmedi,sabit yonerge; bkz. data_raw/promptlar.md,kaydedilmedi,
T059,humanized,Aithor,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T058
T060,humanized,Rephraser,kaydedilmedi,"ucretsiz surum, varsayilan ayarlar",kaydedilmedi,T058
