text_id,label,prompt_id,model,humanizer,source_text_id,raw_text,word_count,char_count,ai_uzunluk_bandi,ortusme_orani,degistirmedi
T001,ai,1,ChatGPT,,,"Türkiye Cumhuriyeti, 29 Ekim 1923 tarihinde ilan edilmiş bağımsız ve demokratik bir devlettir. Ülkenin başkenti Ankara'dır ve devletin yönetim merkezi burada yer alır. Türkiye'nin yönetim biçimi cumhuriyettir. Cumhuriyet, egemenliğin millete ait olduğu ve vatandaşların yöneticilerini seçimler aracılığıyla belirlediği bir yönetim sistemidir. Bu sayede halk, ülkenin yönetiminde söz sahibi olur ve demokratik haklarını kullanabilir. Türkiye, hukuk devleti ilkelerine bağlı kalarak vatandaşlarının hak ve özgürlüklerini korumayı hedefler. Zengin tarihi, kültürel mirası ve doğal güzellikleriyle dikkat çeken Türkiye, farklı bölgeleri ve gelenekleriyle önemli bir ülkedir. Aynı zamanda eğitim, sağlık, ekonomi ve bilim alanlarında gelişimini sürdürerek geleceğe daha güçlü adımlarla ilerlemeyi amaçlamaktadır. Cumhuriyetin temel değerleri, birlik, beraberlik ve milli egemenlik anlayışını güçlendirerek toplumun ortak geleceğine katkı sağlar.",113,940,uygun,,hayir
T002,humanized,1,ChatGPT,Aithor,T001,"Türkiye Cumhuriyeti, 29 Ekim 1923 tarihinde kurulan bağımsız ve demokratik bir devlettir. Ülkenin başkenti Ankara'dır ve yönetim merkezi de burada bulunmaktadır. Türkiye, yönetim biçimi olarak cumhuriyeti benimsemiştir. Cumhuriyet, egemenliğin millete ait olduğu ve halkın yöneticilerini seçimle belirlediği bir yönetim şeklidir. Bu sayede halk, ülke yönetiminde söz sahibi olur ve demokratik haklarını kullanabilir. Türkiye, hukuk devleti ilkesine bağlı kalarak vatandaşlarının hak ve özgürlüklerini korumayı amaçlamaktadır. Zengin tarihi, kültürel mirası ve doğal güzellikleriyle dikkat çeken Türkiye; farklı bölgeleriyle gelenekleriyle önemli bir ülkedir. Aynı zamanda eğitim sağlık ekonomi bilim alanlarında gelişimini sürdürerek geleceğe daha güçlü adımlarla ilerlemeyi hedeflemektedir. Cumhuriyetin temel değerleri birlik beraberlik milli egemenlik anlayışını güçlendirerek toplumun ortak geleceğine katkı sağlar.",109,919,uygulanmaz,80.8,hayir
T003,humanized,1,ChatGPT,Rephraser,T001,"Türkiye, 29 Ekim 1923'te kurulmuş egemen bir demokrasidir. Ankara, devlet yönetiminin bulunduğu ulus başkenti olarak hizmet vermektedir. Oradaki hükümet yapısı cumhuriyetçidir. Cumhuriyet, gücün, liderleri oylama yoluyla seçen halkın elinde olması anlamına gelir. Bu, vatandaşların arazinin işleyişini etkilemesine ve demokratik özgürlükleri uygulamasına olanak tanır. Devlet, hukuk kuralları ilkelerini takip ederek vatandaşların özgürlüklerini korumaya çalışır. Derin tarihi, kültürü ve doğasıyla tanınan Türkiye, farklı alan ve geleneklerde varlığını sürdürüyor. Eş zamanlı olarak eğitim, tıp, finans ve araştırma sektörlerinde ilerlemeyi ilerleterek daha iyi gelecekler planlamaktadır. Birlik, karşılıklı destek ve ulusal bağımsızlık gibi temel cumhuriyetçi idealleri güçlendirerek ortak toplumsal hedeflere yardımcı olur.",97,826,uygulanmaz,19.2,hayir
T004,ai,2,ChatGPT,,,"Madde doğada katı, sıvı ve gaz olmak üzere üç temel hâlde bulunur. Katı maddeler belirli bir şekle ve hacme sahiptir. Örneğin masa, taş ve kalem katı maddelere örnek olarak verilebilir. Sıvılar ise belirli bir hacme sahip olsalar da bulundukları kabın şeklini alırlar. Günlük hayatta içtiğimiz su, süt ve zeytinyağı sıvılara örnektir. Gazlar ise hem bulundukları kabın şeklini hem de hacmini alarak her yöne yayılır. Soluduğumuz hava ve mutfakta kullanılan doğalgaz buna örnek gösterilebilir. Bu hâller arasındaki temel fark, taneciklerin dizilişi ve hareket özgürlüğüdür. Katılarda tanecikler çok sıkı dururken, sıvılarda daha hareketli bir yapı görülür. Gazlarda ise tanecikler birbirinden oldukça uzaktır ve serbest şekilde hareket eder. Bu nedenle her hâl farklı özellikler gösterir.",112,787,uygun,,hayir
T005,humanized,2,ChatGPT,Rephraser,T004,"Doğada madde üç temel biçimde bulunur: katı, sıvı ve gaz. Katıların sabit şekli ve hacmi vardır. Bir masa, bir taş ve bir kalem katı maddelere örnektir. Sıvılar belirli bir hacme sahiptirler ancak bulundukları kabın şeklini alırlar. Günlük olarak tükettiğimiz süt, su ve yemeklik yağ sıvıları temsil etmektedir. Bunun yerine gazlar, bulundukları kabın şekline ve boyutuna uygun olarak her yere dağılır. Soluduğumuz hava ve mutfak doğalgazı bu gibi durumları temsil ediyor. Temel ayrım, parçacık yerleşimi ve hareket özgürlüğünde yatmaktadır. Katı parçacıklar birbirine son derece yakın dururken, sıvılar daha fazla hareketlilik gösterir. Gaz parçacıkları birbirinden uzakta durur ve tamamen özgürce hareket eder. Sonuç olarak her durum benzersiz özellikler gösterir.",107,766,uygulanmaz,35.6,hayir
T006,humanized,2,ChatGPT,Aithor,T004,"Doğada madde üç temel hâlde bulunur: katı, sıvı ve gaz. Katıların şekli de hacmi de bellidir. Masa, taş ve kalem gibi nesneler bu gruba girer. Sıvılarda işler biraz değişir. Hacimleri sabit kalır ama içine kondukları kabın şeklini alırlar. Günlük hayatta içtiğimiz su, süt ve zeytinyağı sıvı hâle örnektir. Gazlar ise kabın hem şeklini hem de hacmini benimseyip her yöne yayılır; soluduğumuz hava ve mutfakta kullandığımız doğalgaz bu davranışı net biçimde gösterir. Peki bu hâller arasındaki temel fark ne? Cevap, taneciklerin dizilişinde ve hareket serbestliğinde saklı. Katı hâlde tanecikler sıkı sıkıya dizilmiştir. Sıvıya geçtiğimizde taneciklerin hareket alanı genişler. En serbest hâl ise gazdır. Tanecikler birbirinden iyice uzaklaşır ve neredeyse bağımsız hareket eder. Bu yüzden her hâlin kendine özgü özellikleri vardır.",119,831,uygulanmaz,45.6,hayir
T007,ai,3,ChatGPT,,,"Teknoloji, eğitim alanında hem önemli fırsatlar sunan hem de dikkatli kullanılmadığında bazı sorunlara yol açabilen bir araçtır. Bence doğru şekilde kullanıldığında öğrenmeyi daha kolay, eğlenceli ve verimli hâle getirir. İnternet sayesinde öğrenciler istedikleri bilgiye kısa sürede ulaşabilir, çevrim içi dersler izleyebilir ve farklı kaynaklardan yararlanabilir. Ayrıca akıllı tahta, tablet ve eğitim uygulamaları derslerin daha anlaşılır olmasına katkı sağlar. Ancak teknolojinin bilinçsiz kullanımı dikkat dağınıklığına neden olabilir ve öğrencilerin sosyal etkileşimini azaltabilir. Uzun süre ekran karşısında kalmak sağlık sorunlarına da yol açabilir. Bu nedenle teknolojinin eğitimde dengeli, amaçlı ve bilinçli kullanılması gerektiğini düşünüyorum. Böylece hem öğrenme süreci gelişir hem de öğrenciler bilgiye daha hızlı ulaşırken karşılaşabilecekleri olumsuz etkileri de en aza indirebilirler.",111,903,uygun,,hayir
T008,humanized,3,ChatGPT,Aithor,T007,"Teknoloji, eğitim alanında hem büyük fırsatlar sunan hem de dikkatli kullanılmadığında bazı sorunlara yol açabilen bir araçtır. Bence doğru kullanıldığında öğrenmeyi daha kolay, eğlenceli ve verimli hale getirir. İnternet sayesinde öğrenciler istedikleri bilgiye kısa sürede ulaşabilir, online dersler izleyebilir ve farklı kaynaklardan yararlanabilir. Ayrıca akıllı tahta, tablet ve eğitim uygulamaları derslerin daha anlaşılır olmasına yardımcı olur. Ama teknolojinin yanlış kullanımı dikkat dağınıklığına yol açabilir ve öğrencilerin sosyal etkileşimini azaltır. Uzun süre ekran başında kalmak sağlık sorunlarına da neden olabilir. Bu yüzden teknolojinin eğitimde dengeli, amaçlı ve bilinçli kullanılması gerektiğini düşünüyorum. Böylece hem öğrenme süreci gelişir hem de öğrenciler bilgiye daha hızlı ulaşırken karşılaşabilecekleri olumsuz etkileri en aza indirebilirler.",108,875,uygulanmaz,85.3,hayir
T009,humanized,3,ChatGPT,Rephraser,T007,"Teknoloji, eğitimde önemli fırsatlar sunan ancak dikkatli kullanılmadığı takdirde sorunlara da yol açabilen bir araç olarak karşımıza çıkıyor. Doğru kullanıldığında öğrenmeyi daha kolay, daha keyifli ve daha verimli hale getirdiğine inanıyorum. İnternet sayesinde öğrenciler ihtiyaç duydukları bilgilere hızlı bir şekilde ulaşabilmekte, çevrimiçi dersleri izleyebilmekte ve çeşitli kaynaklardan yararlanabilmektedir. Ayrıca akıllı tahtalar, tabletler ve eğitim uygulamaları derslerin anlaşılmasını kolaylaştırmaya yardımcı olur. Ancak teknolojiyi düşünmeden kullanmak öğrencilerin dikkatini dağıtabilir ve sosyal etkileşimlerini azaltabilir. Ekran karşısında uzun süre vakit geçirmek de sağlık sorunlarına yol açabiliyor. Bu nedenle teknolojinin eğitimde dengeli, amaçlı ve bilinçli kullanılması gerektiğine inanıyorum. Bu yaklaşım, öğrenme sürecini geliştirerek öğrencilerin bilgiye daha hızlı erişmesine olanak tanırken olası olumsuz etkileri de azaltır.",110,956,uygulanmaz,50.5,hayir
T010,ai,4,ChatGPT,,,"Bir öğrencinin sınava etkili şekilde hazırlanması için öncelikle sınavın kapsamını, konularını ve soru türlerini ayrıntılı biçimde öğrenmesi gerekir. Daha sonra gerçekçi bir çalışma programı hazırlayarak konuları günlere dengeli şekilde bölmeli ve bu plana düzenli olarak uymalıdır. Çalışırken yalnızca ders okumak yerine not çıkarmak, önemli bilgileri tekrar etmek, farklı kaynaklardan soru çözmek ve eksiklerini belirlemek öğrenmeyi daha kalıcı hâle getirir. Anlamadığı konuları öğretmenine, arkadaşlarına veya güvenilir eğitim kaynaklarına danışarak tamamlaması büyük önem taşır. Belirli aralıklarla deneme sınavı çözerek zaman yönetimini geliştirmeli, yaptığı yanlışları dikkatlice incelemeli ve eksik olduğu konular üzerinde tekrar çalışmalıdır. Sınavdan önce düzenli uyumalı, sağlıklı beslenmeli, stresini kontrol etmeli, kendine güvenmeli ve sınava sakin, planlı, motive, dikkatli ve kararlı bir şekilde girmelidir.",113,922,uygun,,hayir
